title,age,startYear,rating,numVotes
Life in Pieces,TV-14,2015,6.8,80
The Great Gilly Hopkins,PG,2016,6.9,80
The Magicians,TV-MA,2016,8.9,80
13 Reasons Why,TV-MA,2017,9.9,80
Sandy Wexler,TV-14,2017,9.2,80
Chewing Gum,TV-MA,2017,9.3,80
The Matchbreaker,PG,2016,7.9,80
Cheer Squad,TV-PG,2016,6.1,80
The Waterboy,PG-13,1998,8.2,80
10 Things I Hate About You,PG-13,1999,6.8,80
Grease,PG,1978,8.6,80
How to Lose a Guy in 10 Days,PG-13,2003,5.6,80
The Benchwarmers,PG-13,2006,7.7,80
Step Up,PG-13,2006,6.4,80
High School Musical 2,TV-G,2007,5.8,80
Twilight,PG-13,2008,8.9,80
Coraline,PG,2009,9.5,80
Hannah Montana: The Movie,G,2009,5.6,80
The Office (U.S.),TV-14,2012,9.7,80
Friday Night Lights,TV-PG,2010,8.1,80
Grey's Anatomy,TV-14,2016,9.8,80
Prison Break,TV-14,2008,9.8,80
90210,TV-14,2013,6.2,80
Gossip Girl,TV-14,2012,9.6,80
How I Met Your Mother,TV-PG,2014,9.4,80
Glee,TV-PG,2015,9.2,80
The Vampire Diaries,TV-14,2017,9.1,80
Family Guy,TV-MA,2015,9.8,80
Criminal Minds,TV-14,2016,9.8,80
Friends,TV-14,2003,9.8,80
The Secret Life of the American Teenager,TV-14,2013,8.1,80
That '70s Show,TV-14,2005,8.9,80
Gilmore Girls,TV-14,2006,9.1,80
Parenthood,TV-14,2014,7.9,80
Heartland,TV-PG,2015,8.5,80
Pretty Little Liars,TV-14,2016,9.6,80
Shameless (U.S.),TV-MA,2016,9.7,80
Switched at Birth,TV-14,2015,8.3,80
New Girl,TV-14,2016,9.1,80
Hart of Dixie,TV-PG,2014,8.1,80
The Client List,TV-14,2013,9.2,80
Safe Haven,PG-13,2013,6.2,80
Baby Daddy,TV-14,2016,8.0,80
The Night Shift,TV-14,2015,9.3,80
Reign,TV-14,2015,7.9,80
Grace and Frankie,TV-MA,2017,9.0,80
How to Get Away with Murder,TV-14,2016,9.5,80
Fuller House,TV-G,2016,9.0,80
Finding Dory,PG,2016,9.8,80
Gilmore Girls: A Year in the Life,TV-14,2016,7.7,80
13 Reasons Why,TV-MA,2017,9.9,80
Gabriel lglesias: IÛªm Sorry For What I Said When I Was Hungry,TV-14,2016,8.4,80
Cheer Squad,TV-PG,2016,6.1,80
Dave Chappelle,TV-MA,2017,9.4,80
The Waterboy,PG-13,1998,8.2,80
Grease,PG,1978,8.6,80
Blow,R,2001,7.8,80
High School Musical,TV-G,2006,6.4,80
High School Musical 2,TV-G,2007,5.8,80
Twilight,PG-13,2008,8.9,80
Hannah Montana: The Movie,G,2009,5.6,80
The Office (U.S.),TV-14,2012,9.7,80
Bones,TV-14,2016,9.7,80
Law & Order: Special Victims Unit,TV-14,2015,9.7,80
Prison Break,TV-14,2008,9.8,80
Nurse Jackie,TV-MA,2015,8.2,80
NCIS,TV-14,2016,9.7,80
Gossip Girl,TV-14,2012,9.6,80
How I Met Your Mother,TV-PG,2014,9.4,80
Supernatural,TV-14,2016,9.5,80
Parks and Recreation,TV-14,2015,9.4,80
Glee,TV-PG,2015,9.2,80
The Vampire Diaries,TV-14,2017,9.1,80
Criminal Minds,TV-14,2016,9.8,80
Friends,TV-14,2003,9.8,80
The Secret Life of the American Teenager,TV-14,2013,8.1,80
One Tree Hill,TV-14,2011,9.0,80
Army Wives,TV-14,2013,6.1,80
Gilmore Girls,TV-14,2006,9.1,80
Private Practice,TV-14,2012,8.8,80
Parenthood,TV-14,2014,7.9,80
Pretty Little Liars,TV-14,2016,9.6,80
Shameless (U.S.),TV-MA,2016,9.7,80
New Girl,TV-14,2016,9.1,80
Revenge,TV-PG,2015,8.4,80
Scandal,TV-14,2016,9.2,80
Magic Mike,R,2012,7.7,80
Trouble with the Curve,PG-13,2012,6.3,80
Orange Is the New Black,TV-MA,2016,9.8,80
Baby Daddy,TV-14,2016,8.0,80
The Night Shift,TV-14,2015,9.3,80
The Originals,TV-14,2016,7.4,80
Home,PG,2015,9.4,80
How to Get Away with Murder,TV-14,2016,9.5,80
Zootopia,PG,2016,9.7,80
Finding Dory,PG,2016,9.8,80
Sausage Party,R,2016,9.1,80
Skin Wars,TV-14,2016,6.9,80
Girlboss,TV-MA,2017,9.4,80
13 Reasons Why,TV-MA,2017,9.9,80
Cheer Squad,TV-PG,2016,6.1,80
Lost,TV-14,2010,9.8,80
Weeds,TV-MA,2012,8.5,80
Grey's Anatomy,TV-14,2016,9.8,80
Lie to Me,TV-14,2010,8.9,80
Prison Break,TV-14,2008,9.8,80
Gossip Girl,TV-14,2012,9.6,80
Glee,TV-PG,2015,9.2,80
The Vampire Diaries,TV-14,2017,9.1,80
The Secret Life of the American Teenager,TV-14,2013,8.1,80
Gilmore Girls,TV-14,2006,9.1,80
Charmed,TV-PG,2005,9.0,80
White Collar,TV-PG,2014,9.3,80
House of Cards,TV-MA,2016,9.1,80
Pretty Little Liars,TV-14,2016,9.6,80
The Killing,TV-14,2014,7.3,80
Shameless (U.S.),TV-MA,2016,9.7,80
Hart of Dixie,TV-PG,2014,8.1,80
Once Upon a Time,TV-PG,2016,9.8,80
Scandal,TV-14,2016,9.2,80
The Client List,TV-14,2013,9.2,80
Bates Motel,TV-14,2016,8.3,80
The Blacklist,TV-14,2016,9.6,80
The Fosters,TV-14,2016,7.3,80
Reign,TV-14,2015,7.9,80
The Originals,TV-14,2016,7.4,80
The 100,NR,2016,9.7,80
Bitten,TV-MA,2016,5.6,80
London Has Fallen,R,2016,9.6,80
Marvel's Jessica Jones,TV-MA,2015,8.3,80
Grace and Frankie,TV-MA,2017,9.0,80
How to Get Away with Murder,TV-14,2016,9.5,80
The Crown,TV-MA,2016,8.4,80
Jane The Virgin,TV-14,2016,9.1,80
Quantico,TV-14,2016,8.8,80
Life in Pieces,TV-14,2015,6.8,80
Ingobernable,TV-MA,2017,9.6,80
Girlboss,TV-MA,2017,9.4,80
13 Reasons Why,TV-MA,2017,9.9,80
Greenleaf,TV-14,2016,6.2,80
Bones,TV-14,2016,9.7,80
Dexter,TV-MA,2013,9.5,80
Leverage,TV-PG,2012,8.6,80
Grey's Anatomy,TV-14,2016,9.8,80
Lie to Me,TV-14,2010,8.9,80
Prison Break,TV-14,2008,9.8,80
NCIS,TV-14,2016,9.7,80
Burn Notice,TV-14,2013,8.5,80
Breaking Bad,TV-MA,2013,9.7,80
Criminal Minds,TV-14,2016,9.8,80
White Collar,TV-PG,2014,9.3,80
Luther,TV-14,2015,6.9,80
Hawaii Five-0,TV-14,2016,9.6,80
House of Cards,TV-MA,2016,9.1,80
Last Man Standing,TV-PG,2015,9.7,80
Revenge,TV-PG,2015,8.4,80
Person of Interest,TV-14,2016,9.3,80
Scandal,TV-14,2016,9.2,80
Touch,TV-14,2012,6.8,80
Sherlock,TV-14,2016,9.5,80
Breakout Kings,TV-14,2012,8.8,80
The Client List,TV-14,2013,9.2,80
Arrow,TV-14,2015,9.6,80
Longmire,TV-14,2016,9.2,80
The Fall,TV-MA,2016,6.1,80
Death in Paradise,TV-14,2016,7.7,80
Marvel's Agents of S.H.I.E.L.D.,TV-PG,2016,8.9,80
Crossing Lines,TV-14,2015,6.6,80
London Has Fallen,R,2016,9.6,80
Marvel's Iron Fist,TV-MA,2017,9.8,80
Gotham,TV-14,2016,8.5,80
Better Call Saul,TV-MA,2016,9.5,80
How to Get Away with Murder,TV-14,2016,9.5,80
Narcos,TV-MA,2016,9.4,80
Hap and Leonard,TV-MA,2016,5.7,80
Rosewood,TV-14,2015,8.1,80
Quantico,TV-14,2016,8.8,80
Limitless,TV-14,2016,8.4,80
Travelers,TV-MA,2016,8.6,80
The Doctor Blake Mysteries,TV-MA,2016,5.7,80
The Office (U.S.),TV-14,2012,9.7,80
Grey's Anatomy,TV-14,2016,9.8,80
Law & Order: Special Victims Unit,TV-14,2015,9.7,80
Lie to Me,TV-14,2010,8.9,80
Prison Break,TV-14,2008,9.8,80
90210,TV-14,2013,6.2,80
Gossip Girl,TV-14,2012,9.6,80
How I Met Your Mother,TV-PG,2014,9.4,80
Parks and Recreation,TV-14,2015,9.4,80
The Vampire Diaries,TV-14,2017,9.1,80
Criminal Minds,TV-14,2016,9.8,80
Friends,TV-14,2003,9.8,80
The West Wing,TV-14,2005,7.9,80
Parenthood,TV-14,2014,7.9,80
White Collar,TV-PG,2014,9.3,80
Blue Bloods,TV-14,2016,9.5,80
House of Cards,TV-MA,2016,9.1,80
Pretty Little Liars,TV-14,2016,9.6,80
The Killing,TV-14,2014,7.3,80
Shameless (U.S.),TV-MA,2016,9.7,80
New Girl,TV-14,2016,9.1,80
Revenge,TV-PG,2015,8.4,80
Person of Interest,TV-14,2016,9.3,80
Once Upon a Time,TV-PG,2016,9.8,80
Scandal,TV-14,2016,9.2,80
Forensic Files,TV-14,2011,8.8,80
Sherlock,TV-14,2016,9.5,80
The Client List,TV-14,2013,9.2,80
Orange Is the New Black,TV-MA,2016,9.8,80
Black Mirror,TV-MA,2016,8.0,80
Bates Motel,TV-14,2016,8.3,80
The Fall,TV-MA,2016,6.1,80
The Blacklist,TV-14,2016,9.6,80
Madam Secretary,TV-14,2016,7.0,80
Sense8,TV-MA,2017,8.1,80
Rosewood,TV-14,2015,8.1,80
The Great British Baking Show,TV-PG,2016,9.4,80
Quantico,TV-14,2016,8.8,80
Limitless,TV-14,2016,8.4,80
American Crime Story: The People v. O.J. Simpson,TV-MA,2016,7.9,80
Santa Clarita Diet,TV-MA,2017,8.2,80
Girlboss,TV-MA,2017,9.4,80
13 Reasons Why,TV-MA,2017,9.9,80
The Doctor Blake Mysteries,TV-MA,2016,5.7,80
Greenleaf,TV-14,2016,6.2,80
The Nightmare Before Christmas,PG,1993,8.4,80
Scooby-Doo,PG,2002,8.6,80
Chicken Little,G,2005,9.2,80
Star Wars: The Clone Wars,PG,2008,5.7,80
Coraline,PG,2009,9.5,80
Cars Toons: Mater's Tall Tales,TV-G,2010,7.4,80
